DateTime,Hour,DayOfWeek,CrimeType,Location,Latitude,Longitude,Description,VictimGender,CrimeAgainstWomen
2023-10-17 03:01:00,3,1,Homicide,Eastside,28.622178569216853,77.20669559498049,dead incident reported. Evidence collected,Male,0
2023-08-28 13:02:00,13,0,Theft,Northside,28.624694808968346,77.23438383094013,purse incident reported. Evidence collected,Male,0
2023-07-29 06:45:00,6,5,Fraud,Eastside,28.60999744375461,77.20509771738418,scam incident reported. Witness present,Female,0
2023-12-16 13:21:00,13,5,Homicide,Southside,28.640220213591792,77.22179057881922,stabbed incident reported. Evidence collected,Male,0
2022-04-05 12:06:00,12,1,Cyber Crime,Suburb A,28.606075426901086,77.2180426673931,hacked incident reported. No leads yet,Unknown,0
2023-07-04 03:59:00,3,1,Fraud,Northside,28.60617637178646,77.2012378374405,cheated incident reported. Witness present,Unknown,0
2023-12-23 02:02:00,2,5,Robbery,Westside,28.6179327045261,77.17711199592237,gun incident reported. No leads yet,Male,0
2022-10-12 14:40:00,14,2,Cyber Crime,Southside,28.585151369458117,77.19962854117932,ransomware incident reported. Evidence collected,Female,0
2023-09-16 20:10:00,20,5,Robbery,Southside,28.59701948132776,77.21423745554326,mugged incident reported. Witness present,Female,1
2023-12-03 10:53:00,10,6,Theft,Eastside,28.59876626540798,77.18546160497775,pickpocket incident reported. CCTV available,Male,0
2022-03-09 06:58:00,6,2,Cyber Crime,Eastside,28.638327479482026,77.20523706165856,identity theft incident reported. Witness present,Unknown,0
2022-09-29 04:15:00,4,3,Homicide,Suburb B,28.615025470078134,77.18525419689645,murder incident reported. Witness present,Unknown,0
2023-06-06 15:05:00,15,1,Theft,Northside,28.60482695459125,77.2108487098285,pickpocket incident reported. Evidence collected,Male,0
2023-01-30 12:38:00,12,0,Kidnapping,Westside,28.594716773709628,77.2152616336391,abducted incident reported. Evidence collected,Unknown,0
2023-11-30 17:48:00,17,3,Homicide,Suburb A,28.603889355168022,77.20413843750345,murder incident reported. No leads yet,Male,0
2022-01-04 23:56:00,23,1,Homicide,Southside,28.603871556462845,77.23987130307515,stabbed incident reported. Witness present,Unknown,0
2022-06-06 11:48:00,11,0,Burglary,Downtown,28.613675046254368,77.1913714845174,broke incident reported. Evidence collected,Unknown,0
2023-01-07 09:15:00,9,5,Theft,Eastside,28.62760908186839,77.18865260583382,stole incident reported. No leads yet,Unknown,0
2022-03-12 17:49:00,17,5,Burglary,Southside,28.617381059916745,77.17633883126868,door incident reported. Witness present,Unknown,0
